id,categoria,titulo_oficial,archivo_oficial,url_pdf
ri_dsf,regimen_informativo,RI Cont. Mensual - Deudores del Sistema Financiero y Composición de los conjuntos económicos.,t-RI-DSF.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-DSF.pdf
ri_rml,regimen_informativo,RI Cont. Mensual - Efectivo mínimo y aplicación de recursos,t-RI-RML.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-RML.pdf
ri_con,regimen_informativo,RI Cont. Mensual - Estado de Consolidación de Entidades Locales con Filiales y Subsidiarias Significativas en el País y en el Exterior.,t-RI-Con.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-Con.pdf
ri_esd,regimen_informativo,RI Cont. Mensual - Estado de Situación de Deudores Consolidado con Filiales y Subsidiarias Significativas en el País y en el Exterior .,t-RI-ESD.PDF,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-ESD.PDF
ri_tar,regimen_informativo,RI Cont. Mensual - Financiamiento con tarjetas de crédito,t-RI-TAR.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-TAR.pdf
ri_gerc,regimen_informativo,RI Cont. Mensual - Grandes exposiciones al riesgo de crédito.,t-RI-GERC.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-GERC.pdf
ri_ii_31_12_19,regimen_informativo,RI Cont. Mensual - Información Institucional de Entidades Financieras y Cambiarias - Vigente a partir del 31.12.19,t-RI-II-31-12-19.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-II-31-12-19.pdf
ri_itme,regimen_informativo,RI Cont. Mensual - Información sobre tenencias en moneda extranjera de casas y agencias de cambio.,t-RI-ITME.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-ITME.pdf
ri_msrl,regimen_informativo,RI Cont. Mensual - Medición y Seguimiento del Riesgo de Liquidez,t-RI-MSRL.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-MSRL.pdf
ri_mmsef,regimen_informativo,RI Cont. Mensual - Medidas mínimas de seguridad en entidades financieras,t-RI-MMSEF.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-MMSEF.pdf
ri_nge,regimen_informativo,RI Cont. Mensual - Normas generales,t-RI-nge.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-nge.pdf
ri_ot,regimen_informativo,RI Cont. Mensual - Operaciones a Término,t-RI-OT.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-OT.pdf
ri_oc,regimen_informativo,RI Cont. Mensual - Operaciones de Cambio,t-RI-OC.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-OC.pdf
ri_rem,regimen_informativo,RI Cont. Mensual - Pago de Remuneraciones mediante Acreditación en Cuenta Bancaria.,t-RI-Rem.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-Rem.pdf
ri_pgn,regimen_informativo,RI Cont. Mensual - Posición Global Neta en Moneda Extranjera,t-RI-PGN.pdf,https://www.bcra.gob.ar/archivos/Pdfs/Texord/t-RI-PGN.pdf
